date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:29	41513/41513	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2017:48:27%20GMT	https://az-boldcms.webflow.io/	C:/My%20Web%20Sites/yin/az-boldcms.webflow.io/index.html	(from )
10:48:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2029%20Oct%202021%2017:48:27%20GMT	https://az-boldcms.webflow.io/robots.txt		(from )
10:48:30	190271/190271	---M-Z	200	added ('OK')	text/css	etag:%226009f8ddd6079759b01bc3b7751f7a57%22	https://assets.website-files.com/60e413b2d0eecec78825c619/css/az-boldcms.webflow.0e4860e35.css	C:/My%20Web%20Sites/yin/assets.website-files.com/60e413b2d0eecec78825c619/css/az-boldcms.webflow.0e4860e35.css	(from https://az-boldcms.webflow.io/)
10:48:30	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/yin/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://az-boldcms.webflow.io/)
10:48:31	2326/2326	---M--	200	added ('OK')	image/png	etag:%221db7f01fecdaeb662026852c941a87df%22	https://assets.website-files.com/60e413b2d0eecec78825c619/60e413b2d0eece2b1225c677_Bold-Favicon.png	C:/My%20Web%20Sites/yin/assets.website-files.com/60e413b2d0eecec78825c619/60e413b2d0eece2b1225c677_Bold-Favicon.png	(from https://az-boldcms.webflow.io/)
10:48:31	49421/49421	---M--	200	added ('OK')	image/png	etag:%22004cfe236e2f40a307015f952836fac3%22	https://assets.website-files.com/60e413b2d0eecec78825c619/60e413b2d0eece2adb25c678_Bold-Webclip.png	C:/My%20Web%20Sites/yin/assets.website-files.com/60e413b2d0eecec78825c619/60e413b2d0eece2adb25c678_Bold-Webclip.png	(from https://az-boldcms.webflow.io/)
10:48:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2029%20Oct%202021%2017:48:29%20GMT	https://az-boldcms.webflow.io/features	C:/My%20Web%20Sites/yin/az-boldcms.webflow.io/features	(from https://az-boldcms.webflow.io/)
10:48:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2029%20Oct%202021%2017:48:29%20GMT	https://az-boldcms.webflow.io/company	C:/My%20Web%20Sites/yin/az-boldcms.webflow.io/company	(from https://az-boldcms.webflow.io/)
10:48:32	17248/17248	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2017:48:29%20GMT	https://az-boldcms.webflow.io/blog	C:/My%20Web%20Sites/yin/az-boldcms.webflow.io/blog.html	(from https://az-boldcms.webflow.io/)
10:48:32	11649/11649	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Oct%202021%2017:48:29%20GMT	https://az-boldcms.webflow.io/support	C:/My%20Web%20Sites/yin/az-boldcms.webflow.io/support.html	(from https://az-boldcms.webflow.io/)
